Word	Tag
play	O
don't	B-song
pan	I-song
me	I-song
by	CC
alberta	B-artist
hunter	I-artist
play	O
warm	B-song
and	I-song
sunny	I-song
day	I-song
play	O
some	O
alberta	B-playlist
hunter	I-playlist
play	O
music	O
from	O
barrington	B-playlist
levy	I-playlist
play	O
something	O
from	O
muse	B-playlist
play	O
something	O
by	O
barrington	B-artist
levy	I-artist
play	O
music	O
by	O
muse	B-artist
play	O
mercy	B-song
by	CC
imagine	B-artist
dragons	I-artist
play	O
believer	B-song
play	O
some	O
imagine	B-playlist
dragons	I-playlist
play	O
music	O
from	O
elmo	B-playlist
and	I-playlist
patsy	I-playlist
play	O
something	O
from	O
kenny	B-playlist
loggins	I-playlist
play	O
something	O
by	O
elmo	B-artist
and	I-artist
patsy	I-artist
play	O
music	O
by	O
kenny	B-artist
loggins	I-artist
play	O
grandma	B-song
got	I-song
run	I-song
over	I-song
by	I-song
a	I-song
reindeer	I-song
by	CC
katy	B-artist
perry	I-artist
play	O
footloose	B-song
play	O
some	O
katy	B-playlist
perry	I-playlist
play	O
music	O
from	O
spice	B-playlist
girls	I-playlist
play	O
something	O
from	O
barrington	B-playlist
levy	I-playlist
play	O
something	O
by	O
spice	B-artist
girls	I-artist
play	O
music	O
by	O
barrington	B-artist
levy	I-artist
play	O
firework	B-song
by	CC
barrington	B-artist
levy	I-artist
play	O
wannabe	B-song
play	O
some	O
barrington	B-playlist
levy	I-playlist
play	O
music	O
from	O
barrington	B-playlist
levy	I-playlist
play	O
something	O
from	O
barrington	B-playlist
levy	I-playlist
play	O
something	O
by	O
barrington	B-artist
levy	I-artist
play	O
music	O
by	O
barrington	B-artist
levy	I-artist
play	O
looking	B-song
my	I-song
love	I-song
by	CC
papa	B-artist
charlie	I-artist
jackson	I-artist
play	O
warm	B-song
and	I-song
sunny	I-song
day	I-song
play	O
some	O
papa	B-playlist
charlie	I-playlist
jackson	I-playlist
play	O
music	O
from	O
vernon	B-playlist
dalhart	I-playlist
play	O
something	O
from	O
vernon	B-playlist
dalhart	I-playlist
play	O
something	O
by	O
vernon	B-artist
dalhart	I-artist
play	O
music	O
by	O
vernon	B-artist
dalhart	I-artist
play	O
mandela	B-song
you're	I-song
free	I-song
by	CC
vernon	B-artist
dalhart	I-artist
play	O
something	B-song
in	I-song
my	I-song
heart	I-song
(full	I-song
vocal)	I-song
play	O
some	O
vernon	B-playlist
dalhart	I-playlist
play	O
music	O
from	O
vernon	B-playlist
dalhart	I-playlist
play	O
something	O
from	O
bessie	B-playlist
smith	I-playlist
play	O
something	O
by	O
vernon	B-artist
dalhart	I-artist
play	O
music	O
by	O
bessie	B-artist
smith	I-artist
play	O
airy	B-song
man	I-song
blues	I-song
by	CC
clarence	B-artist
williams'	I-artist
blue	I-artist
five	I-artist
play	O
wreck	B-song
of	I-song
the	I-song
old	I-song
97	I-song
play	O
some	O
clarence	B-playlist
williams'	I-playlist
blue	I-playlist
five	I-playlist
play	O
music	O
from	O
clarence	B-playlist
williams'	I-playlist
blue	I-playlist
five	I-playlist
play	O
something	O
from	O
clarence	B-playlist
williams'	I-playlist
blue	I-playlist
five	I-playlist
play	O
something	O
by	O
clarence	B-artist
williams'	I-artist
blue	I-artist
five	I-artist
play	O
music	O
by	O
clarence	B-artist
williams'	I-artist
blue	I-artist
five	I-artist
play	O
the	B-song
prisoner's	I-song
song	I-song
by	CC
papa	B-artist
charlie	I-artist
jackson	I-artist
play	O
wreck	B-song
of	I-song
the	I-song
old	I-song
97	I-song
play	O
some	O
papa	B-playlist
charlie	I-playlist
jackson	I-playlist
play	O
music	O
from	O
papa	B-playlist
charlie	I-playlist
jackson	I-playlist
play	O
something	O
from	O
papa	B-playlist
charlie	I-playlist
jackson	I-playlist
play	O
something	O
by	O
papa	B-artist
charlie	I-artist
jackson	I-artist
play	O
music	O
by	O
papa	B-artist
charlie	I-artist
jackson	I-artist
play	O
the	B-song
prisoner's	I-song
song	I-song
by	CC
bertha	B-artist
"""chippie"""	I-artist
hill	I-artist
play	O
careless	B-song
love	I-song
blues	I-song
play	O
some	O
bertha	B-playlist
"""chippie"""	I-playlist
hill	I-playlist
play	O
music	O
from	O
bertha	B-playlist
"""chippie"""	I-playlist
hill	I-playlist
play	O
something	O
from	O
bertha	B-playlist
chippie	I-playlist
hill	I-playlist
play	O
something	O
by	O
bertha	B-artist
"""chippie"""	I-artist
hill	I-artist
play	O
music	O
by	O
bertha	B-artist
chippie	I-artist
hill	I-artist
play	O
cast	B-song
away	I-song
by	CC
bessie	B-artist
smith	I-artist
play	O
pickin'	B-song
on	I-song
your	I-song
baby	I-song
play	O
some	O
bessie	B-playlist
smith	I-playlist
play	O
music	O
from	O
blind	B-playlist
blake	I-playlist
play	O
something	O
from	O
blind	B-playlist
blake	I-playlist
play	O
something	O
by	O
blind	B-artist
blake	I-artist
play	O
music	O
by	O
blind	B-artist
blake	I-artist
play	O
pickin'	B-song
on	I-song
your	I-song
baby	I-song
by	CC
blind	B-artist
blake	I-artist
play	O
all	B-song
i	I-song
want	I-song
is	I-song
a	I-song
spoonful	I-song
play	O
some	O
blind	B-playlist
blake	I-playlist
play	O
music	O
from	O
blind	B-playlist
blake	I-playlist
play	O
something	O
from	O
blind	B-playlist
lemon	I-playlist
jefferson	I-playlist
play	O
something	O
by	O
blind	B-artist
blake	I-artist
play	O
music	O
by	O
blind	B-artist
lemon	I-artist
jefferson	I-artist
play	O
maxwell	B-song
street	I-song
blues	I-song
by	CC
blind	B-artist
lemon	I-artist
jefferson	I-artist
play	O
shake	B-song
that	I-song
thing	I-song
play	O
some	O
blind	B-playlist
lemon	I-playlist
jefferson	I-playlist
play	O
music	O
from	O
blind	B-playlist
lemon	I-playlist
jefferson	I-playlist
play	O
something	O
from	O
blind	B-playlist
lemon	I-playlist
jefferson	I-playlist
play	O
something	O
by	O
blind	B-artist
lemon	I-artist
jefferson	I-artist
play	O
music	O
by	O
blind	B-artist
lemon	I-artist
jefferson	I-artist
play	O
georgia	B-song
man	I-song
by	CC
blind	B-artist
lemon	I-artist
jefferson	I-artist
play	O
trouble	B-song
in	I-song
mind	I-song
play	O
some	O
blind	B-playlist
lemon	I-playlist
jefferson	I-playlist
play	O
music	O
from	O
blind	B-playlist
lemon	I-playlist
jefferson	I-playlist
play	O
something	O
from	O
joe	B-playlist
venuti_	I-playlist
eddie	I-playlist
lang	I-playlist
play	O
something	O
by	O
blind	B-artist
lemon	I-artist
jefferson	I-artist
play	O
music	O
by	O
joe	B-artist
venuti_	I-artist
eddie	I-artist
lang	I-artist
play	O
trouble	B-song
in	I-song
mind	I-song
by	CC
sippie	B-artist
wallace	I-artist
play	O
the	B-song
gin	I-song
house	I-song
blues	I-song
play	O
some	O
sippie	B-playlist
wallace	I-playlist
play	O
music	O
from	O
sippie	B-playlist
wallace	I-playlist
play	O
something	O
from	O
sippie	B-playlist
wallace	I-playlist
play	O
something	O
by	O
sippie	B-artist
wallace	I-artist
play	O
music	O
by	O
sippie	B-artist
wallace	I-artist
play	O
west	B-song
coast	I-song
blues	I-song
by	CC
sippie	B-artist
wallace	I-artist
play	O
west	B-song
coast	I-song
blues	I-song
